,name,type,price,star,comment,taste,env,service,recommend.0,recommend.1,recommend.2,zone,address,location
28,上佳卤大肠,小吃快餐,￥42,准五星商户,261.0,8.9,8.3,8.9,卤大肠,盐水泡椒卤猪肚,盐水泡椒卤猪心,朝晖地区,文晖路240号,"120.167599,30.281571"
29,佳藕天成,小吃快餐,￥21,准五星商户,714.0,8.5,9.1,8.6,西湖藕粉西湖龙井味,西湖藕粉冰糖桂花味,藕冻粉,吴山广场/河坊街,中山中路27号~29号,"120.170871,30.239005"
30,李渔和他的两頭烏(余之城店),小吃快餐,￥31,四星商户,142.0,8.0,8.8,8.3,兰溪牛肉面,鸡仔粿,笋尖肉汤圆,余之城购物中心,南苑街道迎宾路501号余之城东区122单元一楼,"120.303348,30.409926"
31,牛得多(平海路店),面馆,￥22,四星商户,214.0,7.8,8.4,8.1,海苔肉松煎饼,番茄牛肉面,原味牛肉粉丝,平海路,平海路61号,"120.165526,30.253944"
32,鱼朝·野生鱼府(中赢国际店),火锅,￥121,四星商户,744.0,7.7,8.0,8.0,玉米饼,开化野生鮰鱼,开化野生鱼勾,开发区/高教园,江晖路中赢国际1190-1192号,"120.211183,30.199303"
33,早城故食(古墩路店),小吃快餐,￥22,准五星商户,157.0,8.3,8.9,8.6,元宝煎饺,豆浆,西施豆腐,古墩路沿线,古墩路嘉绿景苑东西园7幢6号商铺,"120.097129,30.270552"
34,张老大功夫煎饼(星光百货店),小吃快餐,￥18,四星商户,460.0,8.2,7.9,8.6,至尊烤冷面,芝士烤肠煎饼,烤冷面多洋葱,开发区/高教园,泰安路9号,"120.210555,30.206977"
35,江南春,小吃快餐,￥9,准五星商户,276.0,8.7,8.4,8.6,条头糕,双酿团,薄荷糕,湖滨,中山中路356号,"120.170414,30.251979"
36,宝美点心,小吃快餐,￥13,四星商户,1688.0,8.5,7.2,7.4,特色葱煎包,鲜肉小馄饨,牛肉粉丝,城站火车站,城头巷108号,"120.176378,30.243134"
37,遵义羊肉粉(华元欢乐城店),小吃快餐,,准四星商户,9.0,7.4,7.3,7.6,招牌牛肉面,招牌羊肉面,牛肚面,临平,华元欢乐城憨憨熊美食广场6楼,
38,乡佳米糕(中山北路店),小吃快餐,￥38,准五星商户,149.0,8.4,8.8,9.1,传统打糕,雪糕组合,五色彩打糕,凤起路沿线,二圣庙前52-1号,"120.169929,30.262640"
39,8h甜品吧,小吃快餐,￥24,准五星商户,51.0,8.7,8.5,8.9,我很芒代餐厚酸奶,谷物缤纷代餐厚酸奶,杨枝甘露胖胖,开发区/高教园,江陵路星耀城一期2幢2楼225,"120.214583,30.213250"
40,幸福里九尺巷,小吃快餐,￥55,四星商户,216.0,8.1,8.5,8.3,巷子狮子头,幸福里包子,幸福甜甜虾,中大银泰,杭州中大银泰城购物中心（东新路822号、石祥路138号内）3层L305号,"120.175173,30.327030"
41,蕙心,小吃快餐,￥16,准五星商户,926.0,9.0,7.5,8.0,笋尖烧麦,蛋黄大馄饨干捞,笋尖小馄饨,大关,德苑路83-1号,"120.161028,30.301304"
42,卤儿道道,小吃快餐,,准四星商户,4.0,7.5,7.3,7.3,状元大排,卤儿白饭,高山娃娃菜,吴山广场/河坊街,湖滨in77E区-2楼,"120.164471,30.252148"
43,犁村(物美店),小吃快餐,￥35,准五星商户,181.0,8.5,9.0,8.8,甘梅薯条,培根青酱意大利面,番茄肉酱意面,下沙,5号大街285号转角,"120.348762,30.304087"
44,大雄家烧味钵仔,粤菜,￥37,准五星商户,660.0,8.9,8.8,9.1,椰汁紫米红豆沙,烧鸭叉烧钵仔饭,玫瑰油鸡钵仔饭,高新文教区,黄姑山路32号,"120.133712,30.275652"
45,早城故食(新华路店),小吃快餐,￥21,四星商户,831.0,8.0,8.2,8.1,糖醋煎饺,西施豆腐,芝麻桂花炒年糕,凤起路沿线,新华路99号,"120.176115,30.262125"
46,江南春糕团店,小吃快餐,￥11,准五星商户,299.0,8.4,8.3,8.2,条头糕,双酿团子,擂沙汤圆,城站火车站,解放路47号旅游职业学校南门对面,"120.181424,30.249802"
47,辣丁派捞汁小海鲜,小吃快餐,,准四星商户,8.0,7.1,7.1,7.1,精致蟹钳,爆品扇贝,雪碧,下沙,金沙大道,"120.312460,30.309970"
48,老头葱包烩摊,小吃快餐,￥5,准五星商户,169.0,9.0,7.9,9.0,葱包烩,蛋饼,葱包桧,城站火车站,庆春路文化用品市场里,"120.181797,30.257761"
49,春熙禄潮范儿成都菜(西湖银泰店),川菜,￥80,准五星商户,1524.0,8.8,8.8,8.7,鲜椒花刀鱼,宫保鸡丁,钵钵鸡,西湖银泰,延安路西湖银泰3楼,"120.106213,30.297994"
50,小食札记,小吃快餐,￥32,准五星商户,347.0,8.6,8.7,8.6,红油抄手,四爸牛肉面,担担面,开发区/高教园,星耀城2栋113商铺,"120.214745,30.212888"
51,小日子,小吃快餐,￥21,四星商户,59.0,8.0,8.0,7.8,招牌鲜肉小笼,笋丁金针菇烧卖,豆角包,城厢,萧绍路萧然东路23、25号,"120.275791,30.164517"
52,鱼你说酸菜鱼米饭(星耀城店),小吃快餐,￥23,准四星商户,79.0,7.7,7.6,7.6,金汤酸菜鱼,原味酸菜鱼,青花椒酸菜鱼,开发区/高教园,江陵路丹枫路交叉口星耀城2期1楼041,"120.216474,30.211554"
53,杭州知味观·特色小吃点心(湖滨店),小吃快餐,￥61,准四星商户,14206.0,7.1,6.9,6.7,精品小笼包,猫耳朵,糯米糖藕,湖滨,仁和路83号一楼,"120.163246,30.252624"
54,青茶(西湖银泰店),小吃快餐,￥30,四星商户,1716.0,7.6,8.2,8.0,豆浆,葱油拌面,麻糍,西湖银泰,西湖银泰定安路外围一楼,"120.165921,30.245418"
55,年糕先生(城西店),小吃快餐,￥27,四星商户,453.0,8.0,7.9,7.8,年糕手卷,岩蒜烩年糕,网红米饭定食,城西银泰,塘萍路方家花苑17号商铺,"120.108453,30.304320"
56,葱包桧,小吃快餐,￥4,准五星商户,749.0,8.4,7.5,8.6,葱包烩,葱包桧,油条,吴山广场/河坊街,后市街44号对面,"120.169162,30.241496"
57,匆忙客夜宵烧烤小龙虾烤鱼,小吃快餐,￥34,准四星商户,4.0,7.0,7.0,7.0,鸡蛋饺,红烧小狮子头,洋葱肥肠,富阳区其他,高桥东路1号,"119.943644,30.095169"
58,新丰小吃(庆春店),小吃快餐,￥14,四星商户,1715.0,7.8,7.2,7.1,虾肉小笼包,牛肉粉丝,虾肉馄饨,庆春路沿线,庆春路209号天阳明珠商业中心1-2层,"120.164287,30.257627"
59,老盛昌汤包馆,小吃快餐,￥18,四星商户,569.0,8.0,7.9,7.7,苏州汤包,牛肉粉丝汤,咸蛋黄汤包,平海路,中山中路554号,"120.169787,30.257060"
60,陇上秦轩biangbiang面(龙湖滨江天街店),面馆,￥33,四星商户,297.0,8.3,8.6,8.3,biangbiang面,凉皮,腊汁肉夹馍,开发区/高教园,江汉路1515号B1-22B,"120.204798,30.201000"
61,龙翔臭豆腐,小吃快餐,￥12,准五星商户,1027.0,8.5,7.4,8.2,臭豆腐,炸年糕,甜酱,吴山广场/河坊街,高银街25号,"120.171247,30.240369"
62,游埠豆浆,小吃快餐,￥8,四星商户,1350.0,8.3,6.8,7.2,咸浆,大饼油条,葱油烧饼,吴山广场/河坊街,城隍牌楼巷108号,"120.169433,30.235352"
63,二师兄的脊梁(来福士店),小吃快餐,￥32,四星商户,292.0,8.2,8.2,8.1,悟能之背·脊骨套餐,倔强的脊骨,骨感风情·排骨套餐,钱江新城,来福士广场B1-01,"120.212370,30.249109"
